"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","40 - 44세",351899,355345,360060,361044,358274,343387,328324,312405,301264,296713,298850,301377,311528,323320,331294,336894
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","45 - 49세",396278,373941,354684,338816,328649,329112,335004,341221,342827,339421,325711,311977,297205,286925,282990,285429
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","50 - 54세",376029,382404,388910,390855,384478,372533,353468,337468,323648,313964,315558,322072,328727,330882,327985,314963
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","55 - 59세",364195,350752,345789,335926,345771,348964,357041,364157,366752,359771,349576,332662,318724,306638,298299,300667
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","60 - 64세",334239,343861,342864,345979,339281,332181,322539,319490,311802,321448,325192,333416,340530,343504,337613,328822
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","65 - 69세",239013,255154,265398,278273,292142,299199,310609,312118,317147,311825,306606,298731,297011,290779,300995,305209
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","70 - 74세",177674,182809,185520,189682,195920,210390,226226,236883,250035,263777,271965,284367,287270,293445,289553,285825
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","75 - 79세",130778,129219,132932,137056,143890,150907,155900,159489,164409,170470,184511,199429,209945,222879,236339,245175
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","80세이상",106487,116885,129557,141699,150304,159180,164722,177764,189692,199894,210874,217322,229252,241365,253051,272451
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","80 - 84세",71700,77565,86338,93932,96735,99760,98966,103321,107527,113332,119556,123652,127521,132496,138239,151032
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","85 - 89세",26201,29933,33069,36686,41196,45158,49322,55799,61103,62741,64875,64378,68298,71938,76302,80995
